address,valid_mints,overflow_zec,zero_holder
t1b4XybYDVhiNc2qaSG9ZgTdrqMxqyb6AX7,50,0,true
t1KpiXhjka5EvBCj2x7Swi4MrHvH1whZBjN,50,0,true
t1RELEmkcAGbFneHUd1R1jSU9DhpQwYBAPn,50,0,true
t1bzYxKQxxNaLTwdoqcHZvmpepCg4yZngAr,50,0,true
t1YEzKfEPpcwA16XtjKhfeS91yZLCvKaUVm,50,0,true
t1SVqyXaouW8XTeT2zpzR9Ho5BeowFMN3fY,50,0,true
t1R2kimSRqsEZhRM2YapxoiXmcJt8JS26R2,50,0,true
t1gRY2JqGf94YFyQQGXto7xXbzgvw5rmSjy,50,0,false
t1btNwTJYKbGzwtV6jt4xaSc4GPsFrBoB8p,50,0,false
t1fCmNkTGqtxnnSq9LLFxityrJ12uTeiEUK,50,0,true
t1UYkBhztBcBpQLLQSye4N84kcE1Tq1znW9,50,0,true
t1ZUffvd1tK6PUx9r8zBojyoAJSMip5AWrA,50,0,false
t1JXhSxCqshXKuGLJtaXdWPzFH7hHMwoEMR,50,0.01,true
t1L2rjTmcceKadYAvrk9Bz3Q5DhuTKSqAuy,50,0,true
t1fL13xZ5tJVAhQDAzjTEP5pBKBu4GNqgNP,50,0,false
t1JEQVZtfwJ22eqoQxysG614sCXxkxRNtTP,50,0,false
t1X6fAbmcmw2GGXzwTZhtnmd8PLfnbnh1xe,50,0,false
t1TXJY2PkqZGYamBLaeQKfjoX5CsZkK2fN4,50,0,false
t1aUACx3quMNA66rM1AmDmZoewSVAehFk1W,50,0,false
t1VNqzdvmveogFSMVU2hQBAdTTvLfrE5FCr,50,0,false
t1dacu5tgHUsxkp3cR37UyXadwzSjAvCTnH,50,0,true
t1c4J1rMLWwpELU6XcJqb9zheUjUSeThjcx,50,0.003,false
t1dfJRU8B7HJG8t7ZXHDCUcTFFfw7B71aLT,50,0,true
t1KeYd75eLD8BVhtJn9R2sQxsomd4ukSy3Q,50,0,true
t1PXxvXfJZVWocHNWoz4G8MuK2rDnYPFYNT,50,0,true
t1aD5Mp7aux3FxfV5hWtjFEiihCDtb71sMG,50,0,true
t1dgqMeqinLpFF487bH9pQoQDkM7fAxk554,50,0,false
t1gEaDQaiqyVGAoog8VHocUM1SQ6scajDBe,50,0,false
t1Xcqj6EXQ9yWUyCqY2LkKx8K2z37cqp8qC,50,0,true
t1MN1HiXkseswrzwe7jBK82fLewryuGJtc9,50,0,true
t1WmvGYmhcVioHvRoZFXTkVmeMY5bmuintT,50,0,true
t1NbGTmb1hg3T1HYtEc3F4sZ9TrroKMBsFc,50,0,false
t1KcUw1NpvR56on7dBzKddJoB41AkJLwE2h,50,0,true
t1Y9DVrXXFPB4swn6qbsAY7JjJhbS7Fb83y,50,0,true
t1TK5Exioia8at4ohgcGuHDesvivbDmjfJ5,50,0,false
